Year,Asia_Temperature
197710,-0.68
197711,1.51
197712,0.42
197801,0.53
197802,-0.29
197803,0.80
197804,0.64
197805,-0.13
197806,-0.06
197807,-0.23
197808,-0.53
197809,0.16
197810,0.16
197811,1.47
197812,0.02
197901,-0.44
197902,0.98
197903,0.17
197904,-0.72
197905,0.31
197906,0.09
197907,-0.04
197908,-0.25
197909,0.15
197910,0.23
197911,0.08
197912,1.79
198001,-0.43
198002,-0.01
198003,-0.85
198004,-0.09
198005,0.29
198006,0.23
198007,0.11
198008,-0.15
198009,0.07
198010,0.15
198011,1.26
198012,1.59
198101,1.61
198102,1.22
198103,1.09
198104,0.95
198105,0.23
198106,0.54
198107,0.32
198108,0.37
198109,0.06
198110,-0.12
198111,-0.14
198112,1.52
198201,0.46
198202,0.64
198203,-0.53
198204,1.27
198205,0.35
198206,-0.05
198207,0.02
198208,-0.11
198209,0.02
198210,-0.22
198211,0.21
198212,1.29
198301,1.88
198302,0.87
198303,0.86
198304,-0.05
198305,0.01
198306,-0.08
198307,0.18
198308,0.33
198309,0.49
198310,0.40
198311,1.74
198312,1.75
198401,0.89
198402,-1.19
198403,0.71
198404,-0.51
198405,0.93
198406,0.21
198407,0.02
198408,-0.09
198409,-0.13
198410,-0.33
198411,-0.72
198412,-1.88
198501,-0.23
198502,-0.57
198503,-0.46
198504,0.68
198505,-0.01
198506,0.10
198507,-0.41
198508,0.22
198509,-0.02
198510,-0.01
198511,0.38
198512,0.25
198601,0.94
198602,0.27
198603,0.59
198604,0.43
198605,0.05
198606,0.26
198607,-0.03
198608,-0.07
198609,0.07
198610,0.09
198611,0.54
198612,-0.24
198701,-0.01
198702,1.54
198703,-0.34
198704,-0.64
198705,0.21
198706,-0.21
198707,0.01
198708,0.41
198709,0.13
198710,-0.44
198711,-1.36
198712,0.61
198801,1.21
198802,-0.17
198803,0.34
198804,0.61
198805,0.23
198806,0.70
198807,0.68
198808,0.32
198809,0.83
198810,0.74
198811,1.20
198812,2.41
198901,0.74
198902,1.59
198903,2.03
198904,-0.01
198905,0.51
198906,0.21
198907,0.28
198908,0.09
198909,0.07
198910,0.71
198911,0.56
198912,1.88
199001,-0.01
199002,1.72
199003,2.96
199004,0.81
199005,0.80
199006,0.53
199007,0.23
199008,0.32
199009,0.19
199010,0.87
199011,1.28
199012,1.63
199101,1.46
199102,0.63
199103,-0.24
199104,1.15
199105,0.58
199106,0.84
199107,0.51
199108,0.17
199109,0.49
199110,0.99
199111,1.22
199112,0.32
199201,1.71
199202,1.42
199203,0.38
199204,-0.02
199205,0.28
199206,-0.39
199207,-0.32
199208,-0.30
199209,-0.46
199210,-0.31
199211,-0.11
199212,1.44
199301,1.45
199302,2.32
199303,1.34
199304,-0.02
199305,-0.15
199306,0.22
199307,0.26
199308,-0.06
199309,-0.24
199310,0.03
199311,-1.35
199312,0.23
199401,1.04
199402,-0.25
199403,0.69
199404,0.69
199405,0.61
199406,0.81
199407,0.10
199408,0.28
199409,0.23
199410,0.93
199411,1.31
199412,0.14
199501,1.82
199502,3.21
199503,1.42
199504,1.28
199505,0.59
199506,0.76
199507,0.30
199508,0.72
199509,0.56
199510,1.20
199511,2.01
199512,0.99
199601,0.08
199602,0.80
199603,0.44
199604,-0.45
199605,0.72
199606,0.27
199607,0.66
199608,-0.25
199609,-0.13
199610,0.09
199611,0.78
199612,0.91
199701,0.83
199702,1.21
199703,2.07
199704,1.89
199705,0.80
199706,0.52
199707,0.15
199708,0.46
199709,0.18
199710,1.36
199711,0.17
199712,-0.13
199801,0.14
199802,1.56
199803,1.09
199804,0.80
199805,0.53
199806,1.03
199807,1.17
199808,1.23
199809,0.59
199810,0.76
199811,-0.56
199812,1.88
199901,1.36
199902,3.22
199903,-0.99
199904,1.02
199905,0.69
199906,0.29
199907,0.90
199908,0.41
199909,0.51
199910,1.10
199911,0.40
199912,2.22
200001,0.41
200002,1.53
200003,1.51
200004,2.28
200005,1.11
200006,1.04
200007,0.80
200008,0.89
200009,0.52
200010,-0.23
200011,-0.90
200012,0.28
200101,-0.12
200102,0.57
200103,1.75
200104,1.26
200105,1.69
200106,0.96
200107,0.77
200108,0.88
200109,0.57
200110,0.64
200111,2.28
200112,0.51
200201,2.94
200202,3.81
200203,3.47
200204,0.78
200205,0.82
200206,0.79
200207,0.98
200208,0.62
200209,0.69
200210,0.44
200211,0.92
200212,-1.32
200301,1.54
200302,1.67
200303,1.24
200304,0.84
200305,0.84
200306,0.47
200307,0.43
200308,0.93
200309,0.97
200310,1.30
200311,0.34
200312,2.30
200401,1.84
200402,2.44
200403,1.97
200404,0.77
200405,1.00
200406,0.73
200407,0.47
200408,0.34
200409,0.88
200410,0.58
200411,2.37
200412,0.25
200501,1.57
200502,-0.60
200503,1.52
200504,1.32
200505,1.04
200506,1.23
200507,1.07
200508,0.71
200509,1.55
200510,1.63
200511,2.34
200512,0.95
