Year,Africa_Temperature
199601,1.05
199602,0.87
199603,0.63
199604,0.24
199605,0.75
199606,0.19
199607,0.32
199608,0.50
199609,0.51
199610,0.18
199611,-0.08
199612,0.67
199701,0.64
199702,-0.17
199703,0.03
199704,-0.24
199705,0.04
199706,0.66
199707,0.69
199708,0.85
199709,1.01
199710,0.75
199711,0.71
199712,0.66
199801,0.52
199802,1.39
199803,0.57
199804,1.76
199805,1.09
199806,1.02
199807,1.07
199808,0.91
199809,0.87
199810,0.59
199811,0.60
199812,0.65
199901,0.70
199902,0.63
199903,0.81
199904,0.91
199905,0.86
199906,1.04
199907,0.63
199908,0.55
199909,0.35
199910,0.35
199911,0.66
199912,0.34
200001,0.40
200002,-0.29
200003,0.27
200004,1.07
200005,0.70
200006,0.55
200007,0.54
200008,0.54
200009,0.55
200010,0.15
200011,0.39
200012,0.42
200101,0.33
200102,-0.04
200103,1.27
200104,0.86
200105,0.75
200106,0.46
200107,0.55
200108,0.83
200109,0.76
200110,0.67
200111,0.48
200112,1.13
200201,0.08
200202,0.67
200203,1.15
200204,0.90
200205,0.98
200206,0.56
200207,1.30
200208,1.19
200209,1.09
200210,0.63
200211,0.57
200212,0.95
200301,0.97
200302,1.13
200303,0.78
200304,1.18
200305,1.01
200306,0.61
200307,0.75
200308,0.70
200309,0.83
200310,1.30
200311,1.04
200312,0.69
200401,0.97
200402,0.79
200403,0.92
200404,0.75
200405,0.71
200406,0.51
200407,0.47
200408,1.10
200409,0.61
200410,1.02
200411,1.00
200412,0.96
200501,0.27
200502,1.68
200503,1.51
200504,1.14
200505,0.98
200506,0.74
200507,0.91
200508,1.14
200509,0.95
200510,0.97
200511,0.87
200512,1.30
200601,1.02
200602,1.24
200603,0.94
200604,0.95
200605,0.51
200606,0.83
200607,1.06
200608,0.98
200609,0.57
200610,1.10
200611,0.24
200612,0.09
200701,0.34
200702,1.18
200703,0.86
200704,1.06
200705,0.95
200706,0.77
200707,0.67
200708,0.70
200709,1.03
200710,0.75
200711,0.75
200712,0.46
200801,-0.25
200802,0.23
200803,1.11
200804,0.61
200805,0.92
200806,0.76
200807,0.91
200808,0.92
200809,0.91
200810,0.79
200811,0.59
200812,0.93
200901,0.80
200902,1.17
200903,0.91
200904,0.65
200905,0.79
200906,1.25
200907,0.98
200908,1.07
200909,0.96
200910,0.98
200911,0.58
200912,1.46
201001,1.59
201002,2.53
201003,1.78
201004,1.95
201005,1.46
201006,1.06
201007,1.02
201008,1.04
201009,0.98
201010,1.20
201011,1.29
201012,1.07
201101,0.67
201102,0.91
201103,1.21
201104,0.94
201105,0.95
201106,0.88
201107,1.03
201108,0.85
201109,1.01
201110,0.60
201111,0.39
201112,0.01
201201,0.19
201202,0.48
201203,0.56
201204,0.89
201205,1.06
201206,0.92
201207,0.85
201208,0.91
201209,0.66
201210,1.15
201211,1.44
201212,0.72
201301,1.02
201302,1.16
201303,1.88
201304,0.82
201305,0.96
201306,0.88
201307,0.87
201308,0.51
201309,0.82
201310,0.78
201311,0.91
201312,0.51
201401,1.19
201402,0.67
201403,0.82
201404,1.12
201405,1.07
201406,1.06
201407,1.26
201408,1.03
201409,1.09
201410,0.91
201411,0.82
201412,0.83
201501,0.42
201502,1.29
201503,0.96
201504,0.81
201505,1.61
201506,1.20
201507,1.43
201508,1.60
201509,1.37
201510,1.91
201511,0.97
201512,0.64
201601,1.35
201602,1.41
201603,1.97
201604,1.91
201605,1.35
201606,1.26
201607,1.02
201608,1.28
201609,1.33
201610,1.60
201611,1.51
201612,1.51
201701,0.95
201702,0.85
201703,1.12
201704,1.26
201705,1.52
201706,1.31
201707,1.32
201708,1.23
201709,1.50
201710,0.95
201711,0.71
201712,0.89
201801,0.58
201802,1.45
201803,1.52
201804,1.18
201805,1.23
201806,1.00
201807,1.36
201808,1.10
201809,1.20
201810,1.11
201811,1.16
201812,1.14
201901,1.04
201902,0.73
201903,1.28
201904,1.37
201905,1.61
201906,1.36
201907,1.55
201908,1.42
201909,1.36
201910,1.26
201911,1.57
201912,1.30
202001,0.68
202002,1.15
202003,1.34
202004,1.55
202005,1.56
202006,1.39
202007,1.17
202008,1.08
202009,1.13
202010,1.23
202011,0.90
202012,1.63
202101,1.65
202102,0.89
202103,1.13
202104,1.43
202105,1.46
202106,1.49
202107,1.25
202108,1.37
202109,1.48
202110,1.11
202111,1.58
202112,1.29
202201,0.59
202202,0.71
202203,0.94
202204,1.20
202205,1.05
202206,1.07
202207,1.02
202208,1.02
202209,1.19
202210,1.20
202211,0.92
